offset,title,type,office,office_level,publish_date,effective_date,status
79,中华人民共和国招标投标法,法律,全国人民代表大会常务委员会,全国人民代表大会,2017-12-27,2017-12-28,有效
80,中华人民共和国民法典,法律,全国人民代表大会,全国人民代表大会,2020-05-28,2021-01-01,有效
81,中华人民共和国中外合作经营企业法,法律,全国人民代表大会,全国人民代表大会,2017-11-04,2017-11-05,已废止
82,中华人民共和国证券法,法律,全国人民代表大会常务委员会,全国人民代表大会,2019-12-28,2020-03-01,有效
83,中华人民共和国民法总则,法律,全国人民代表大会,全国人民代表大会,2017-03-15,2017-10-01,已废止
84,中华人民共和国商业银行法,法律,全国人民代表大会常务委员会,全国人民代表大会,2015-08-29,2015-10-01,有效
85,中华人民共和国中外合资经营企业法,法律,全国人民代表大会,全国人民代表大会,2016-09-03,2016-10-01,已废止
86,中华人民共和国拍卖法,法律,全国人民代表大会常务委员会,全国人民代表大会,2015-04-24,2015-04-24,有效
87,中华人民共和国外资企业法,法律,全国人民代表大会,全国人民代表大会,2016-09-03,2016-10-01,已废止
88,中华人民共和国电子签名法,法律,全国人民代表大会常务委员会,全国人民代表大会,2015-04-24,2015-04-24,已修改
89,中华人民共和国证券投资基金法,法律,全国人民代表大会常务委员会,全国人民代表大会,2015-04-24,2015-04-24,有效
90,中华人民共和国保险法,法律,全国人民代表大会常务委员会,全国人民代表大会,2015-04-24,2015-04-24,有效
91,中华人民共和国侵权责任法,法律,全国人民代表大会常务委员会,全国人民代表大会,2009-12-26,2010-07-01,已废止
92,中华人民共和国证券法,法律,全国人民代表大会常务委员会,全国人民代表大会,2014-08-31,2014-08-31,已修改
93,中华人民共和国著作权法,法律,全国人民代表大会常务委员会,全国人民代表大会,2010-02-26,2010-04-01,已修改
94,中华人民共和国民法通则,法律,全国人民代表大会,全国人民代表大会,2009-08-27,2009-08-27,已废止
95,中华人民共和国公司法,法律,全国人民代表大会常务委员会,全国人民代表大会,2013-12-28,2014-03-01,已修改
96,中华人民共和国消费者权益保护法,法律,全国人民代表大会常务委员会,全国人民代表大会,2013-10-25,2014-03-15,有效
97,中华人民共和国农村土地承包法,法律,全国人民代表大会常务委员会,全国人民代表大会,2009-08-27,2009-08-27,已修改
98,中华人民共和国商标法,法律,全国人民代表大会常务委员会,全国人民代表大会,2013-08-30,2014-05-01,已修改
99,中华人民共和国全民所有制工业企业法,法律,全国人民代表大会,全国人民代表大会,2009-08-27,2009-08-27,有效
100,中华人民共和国涉外民事关系法律适用法,法律,全国人民代表大会常务委员会,全国人民代表大会,2010-10-28,2011-04-01,有效
101,中华人民共和国专利法,法律,全国人民代表大会常务委员会,全国人民代表大会,2008-12-27,2009-10-01,已修改
102,中华人民共和国企业破产法,法律,全国人民代表大会常务委员会,全国人民代表大会,2006-08-27,2007-06-01,有效
103,中华人民共和国物权法,法律,全国人民代表大会,全国人民代表大会,2007-03-16,2007-10-01,已废止
104,中华人民共和国信托法,法律,全国人民代表大会常务委员会,全国人民代表大会,2001-04-28,2001-10-01,有效
105,中华人民共和国合伙企业法,法律,全国人民代表大会常务委员会,全国人民代表大会,2006-08-27,2007-06-01,有效
106,中华人民共和国婚姻法,法律,全国人民代表大会,全国人民代表大会,2001-04-28,2001-04-28,已废止
107,中华人民共和国个人独资企业法,法律,全国人民代表大会常务委员会,全国人民代表大会,1999-08-30,2000-01-01,有效
108,中华人民共和国票据法,法律,全国人民代表大会常务委员会,全国人民代表大会,2004-08-28,2004-08-28,有效
109,中华人民共和国合同法,法律,全国人民代表大会,全国人民代表大会,1999-03-15,1999-10-01,已废止
110,中华人民共和国野生动物保护法,法律,全国人民代表大会常务委员会,全国人民代表大会,2022-12-30,2023-05-01,有效
111,中华人民共和国体育法,法律,全国人民代表大会常务委员会,全国人民代表大会,2022-06-24,2023-01-01,有效
112,中华人民共和国收养法,法律,全国人民代表大会常务委员会,全国人民代表大会,1998-11-04,1999-04-01,已废止
113,中华人民共和国职业教育法,法律,全国人民代表大会常务委员会,全国人民代表大会,2022-04-20,2022-05-01,有效
114,中华人民共和国担保法,法律,全国人民代表大会常务委员会,全国人民代表大会,1995-06-30,1995-10-01,已废止
115,中华人民共和国海商法,法律,全国人民代表大会常务委员会,全国人民代表大会,1992-11-07,1993-07-01,有效
