law_id,type,title,kana,effective_date
138AC1000000066,法律,明治三十八年法律第六十六号（外国ニ於テ流通スル貨幣紙幣銀行券証券偽造変造及模造ニ関スル法律）,がいこくにおいてりゅうつうするかへいしへいぎんこうけんしょうけんぎぞうへんぞうおよびもぞうにかんするほうりつ,令和七年六月一日
138M10000008002,府省令,明治三十八年内務省令第二号（明治三十八年法律第六十六号ノ官没ニ関スル手続）,めいじさんじゅうはちねんほうりつだいろくじゅうろくごうのかんぼつにかんするつづき,明治三十八年三月二十日
138M10000020001,府省令,明治三十八年外務省令第一号（明治三十八年法律第六十六号ノ官没ニ関スル手続）,めいじさんじゅうはちねんほうりつだいろくじゅうろくごうのかんぼつにかんするてつづき,明治三十八年三月二十日
138M10000040051,府省令,明治三十八年大蔵省令第五十一号（印紙貼用方ノ件）,いんしちょうようかたのけん,大正九年六月二十四日
138M10001000037,府省令,鉄道抵当法施行規則,てつどうていとうほうしこうきそく,令和三年一月一日
139AC0000000034,法律,明治三十九年法律第三十四号（国債ニ関スル法律）,こくさいにかんするほうりつ,令和二年四月一日
139AC0000000051,法律,紙幣類似証券取締法,しへいるいじしょうけんとりしまりほう,令和七年六月一日
139IO0000000137,勅令,明治三十九年勅令第百三十七号（国債償還ノ為抽籤執行ノ場合ニ於ケル立会者ニ関スル件）,こくさいしょうかんのためちゅうせんしっこうのばあいにおけるたちあいしゃにかんするけん,平成十三年一月六日
139M10000200027,府省令,国有林野台帳規程,こくゆうりんやだいちょうきてい,令和二年十二月二十一日
140AC0000000045,法律,刑法,けいほう,令和八年五月二十二日
141AC0000000029,法律,刑法施行法,けいほうしこうほう,令和七年六月一日
141AC0000000050,法律,水害予防組合法,すいがいよぼうくみあいほう,平成二十八年四月一日
141AC0000000053,法律,公証人法,こうしょうにんほう,令和十年六月十三日
141AC0000000057,法律,北海道国有未開地処分法,ほっかいどうこくゆうみかいちしょぶんほう,平成十七年三月七日
141IO0000000191,勅令,水害予防組合職員賠償責任及身元保証令,すいがいよぼうくみあいしょくいんばいしょうせきにんおよびみもとほしょうれい,平成二十八年四月一日
141IO0000000217,勅令,明治四十一年勅令第二百十七号（刑法施行前ニ公布シタル命令ニ関スル件）,けいほうしこうまえにこうふしたるめいれいにかんするけん,明治四十一年九月二十四日
141IO0000000287,勅令,明治四十一年勅令第二百八十七号（政府ニ納ムヘキ保証金其ノ他ノ担保ニ充用スル国債ノ価格ニ関スル件）,せいふにおさむべきほしょうきんそのたのたんぽにじゅうようするこくさいのかかくにかんするけん,平成十三年一月六日
141IO0000000291,勅令,勲章褫奪令,くんしょうちだつれい,令和七年六月一日
141M10000001002,府省令,勲章褫奪令施行細則,くんしょうちだつれいしこうさいそく,令和七年六月一日
141M10000008013,府省令,明治四十一年内務省令第十三号（水害予防組合法ニ依ル予算調製ノ式及費目流用其ノ他財務ニ関スル件）,すいがいよぼうくみあいほうによるよさんちょうせいのしきおよびひもくりゅうようそのたざいむにかんするけん,令和元年五月七日
141M10000008014,府省令,水害予防組合法第八十二条ニ依ル水害予防組合吏員服務紀律,すいがいよぼうくみあいほうだいはちじゅうにじょうによるすいがいよぼうくみあいりいんふくむきりつ,平成十二年四月一日
142AC0000000008,法律,明治四十二年法律第八号（登録国債ノ担保充用ニ関スル法律）,とうろくこくさいのたんぽじゅうようにかんするほうりつ,明治四十二年三月二十二日
142AC0000000009,法律,明治四十二年法律第九号（政府ニ対スル保証金其ノ他ノ担保ニ供シタル国債ノ買入銷却ニ関スル法律）,せいふにたいするほしょうきんそのたのたんぽにきょうしたるこくさいのかいいれさうきゃくにかんするほうりつ,平成十三年一月六日
142AC0000000022,法律,明治四十二年法律第二十二号（立木ニ関スル法律）,りゅうぼくにかんするほうりつ,平成十七年三月七日
142AC0000000028,法律,明治四十二年法律第二十八号（軌道ノ抵当ニ関スル法律）,きどうのていとうにかんするほうりつ,昭和六十一年十二月四日
142AC0000000039,法律,印紙犯罪処罰法,いんしはんざいしょばつほう,令和七年六月一日
142IO0000000120,勅令,明治四十二年勅令第百二十号（刑法施行後施行ノ命令ニ掲ケタル刑法ノ刑名ニ関スル件）,けいほうしこうごしこうのめいれいにかかげたるけいほうのけいめいにかんするけん,明治四十二年五月一日
142M10000001006,府省令,軌道抵当取扱規則,きどうていとうとりあつかいきそく,平成十三年一月六日
142M10000008013,府省令,明治四十二年内務省令第十三号（印紙犯罪処罰法第五条ノ官没手続）,いんしはんざいしょばつほうだいごじょうのかんぼつてつづき,明治四十二年四月二十八日
142M10000040028,府省令,明治四十二年大蔵省令第二十八号（印紙犯罪処罰法第五条ノ官没手続）,いんしはんざいしょばつほうだいごじょうのかんぼつてつづき,明治四十二年四月二十八日
143AC0000000054,法律,関税定率法,かんぜいていりつほう,令和十年四月一日
143AC1000000056,法律,明治四十三年法律第五十六号（立木ノ先取特権ニ関スル法律）,りゅうぼくのせんしゅとっけんにかんするほうりつ,明治四十三年四月十六日
143M10000040024,府省令,第三回四分利付英貨公債発行規程,だいさんかいよんぶんりつきえいかこうさいはっこうきてい,昭和二十七年十一月二十四日
145AC0000000021,法律,臘虎膃肭獣猟獲取締法,らっこおっとせいりょうかくとりしまりほう,令和七年六月一日
145M10001000033,府省令,明治四十五年逓信省令第三十三号（船舶積量互認ノ件ニ関シ帝国政府ト和蘭国政府トノ間ニ取極ヲ為シタル条規）,せんぱくせきりょうごにんのけんにかんしていこくせいふとおらんだこくせいふとのあいだにとりきめをなしたるじょうき,明治四十五年七月一日
201M10000001001,府省令,大正元年閣令第一号（大喪中ノ国旗掲揚方）,たいそうなかのこっきけいようほう,大正元年七月三十日
202AC1000000016,法律,運河法,うんがほう,平成十七年四月一日
